Day,Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Avg_Photo_Total,Day0PE
2,2,11E,5,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.758,0.791
2,2,11F,6,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.75425,0.7285
2,3,11G,7,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.76625,0.76675
2,3,11H,8,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.74,0.763
2,3,11I,9,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.76475,0.797
2,4,11J,10,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.72775,0.7705
2,4,11K,11,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.758,0.80025
2,4,11L,12,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.7445,0.7765
4,1,11A,1,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.66325,0.7755
4,1,11B,2,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.76075,0.79975
4,1,11C,3,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.72775,0.797
4,2,11D,4,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.76025,0.76275
4,2,11E,5,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.74975,0.791
4,2,11F,6,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.74275,0.7285
4,3,11G,7,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.747,0.76675
4,3,11H,8,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.582,0.763
4,3,11I,9,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.75375,0.797
4,4,11J,10,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.76075,0.7705
4,4,11K,11,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.75725,0.80025
4,4,11L,12,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.75275,0.7765
6,1,11A,1,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.529,0.7755
6,1,11B,2,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.535,0.79975
6,1,11C,3,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.657,0.797
6,2,11D,4,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.26475,0.76275
6,2,11E,5,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.39575,0.791
6,2,11F,6,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.74125,0.7285
6,3,11G,7,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.13,0.76675
6,3,11H,8,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.396,0.763
6,3,11I,9,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.53025,0.797
6,4,11J,10,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.235,0.7705
6,4,11K,11,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.2785,0.80025
6,4,11L,12,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.71125,0.7765
7,1,11A,1,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.657,0.7755
7,1,11B,2,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.71775,0.79975
7,1,11C,3,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.747,0.797
7,2,11F,6,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.758,0.7285
7,2,11D,4,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.622,0.76275
7,2,11E,5,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.61725,0.791
7,3,11G,7,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.10525,0.76675
